,area,id,region,title,lat,lot,full_adress,population_2010,man_2010,female_2010
104,Каа-Хемский район,1157101,Тыва ,Усть-Бурен,"51,4138176","95,6560897","Усть-Бурен, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",513,249,264
105,Каа-Хемский район,1157102,Тыва ,Усть-Ужеп,"51,3294147","96,2546187","Усть-Ужеп, Сизимский сумон, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
106,Тандинский район,1157168,Тыва ,Усть-Хадын,"51,288216","94,568761","Усть-Хадын, Дургенский сумон, Тандинский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
107,Кызылский район,1157113,Тыва ,Усть-Элегест,"50,8514746","96,9501132","Усть-Элегест, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1315,642,673
108,Кызылский район,1157114,Тыва ,Уш-Белдир,"51,4717472","98,0534747","Уш-Белдир, Каа-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",,,
109,Пий-Хемский район,1157142,Тыва ,Уюк,"52,0187888","93,6369646","Уюк, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",804,390,414
110,Пий-Хемский район,1157143,Тыва ,Хадын,"51,9561678","93,6290708","Хадын, Пий-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",677,327,350
111,Дзун-Хемчикский район,1157078,Тыва ,Хайыракан,"51,5631544","93,0285213","Хайыракан, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1337,623,714
112,Улуг-Хемский район,1157195,Тыва ,Хайыракан,"51,5631544","93,0285213","Хайыракан, Улуг-Хемский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",1337,623,714
113,Овюрский район,1157128,Тыва ,Хандагайты,"50,7330745","92,0726451","Хандагайты, Овюрский кожуун, Республика Тыва, Сибирский федеральный округ, Россия",3207,1475,1732
